Date,Label,Speaker,Political Party,Subject,Photo
2014-06-26,Mostly False, New Approach Oregon,Organization,Marijuana,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/logo_1.png
2014-07-17,Mostly False,Kate  Obenshain ,Republican,Foreign Policy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/7706948974_0f84f9f04c_z.jpg
2014-07-16,Half True,Mark  O'Mara,None,Pop Culture,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/omara.jpg
2014-07-17,False,Hillary Clinton,Democrat,Economy;History;Jobs;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/GYI_659046701_585968470.jpg
2014-07-15,Mostly True,Stu Burguiere ,None,Foreign Policy;History;Military,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/303008_04_0955_62mqilem.jpg
2014-07-18,Pants on Fire, Facebook posts,None,Economy;Labor;Workers,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2014-06-13,No Flip,Ed  Gillespie,Republican,Immigration;Public Safety;Voting Record,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Gillespie_mug2.jpg
2014-07-20,Mostly True,John Kerry,Democrat,Foreign Policy;Military,https://s3.amazonaws.com/static.politifact.com/mugs/mug-johnkerry.jpg
2014-07-02,Mostly False, Bloggers,None,Labor;Workers,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2014-07-07,False,Barbara Comstock,Republican,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/COMSTOCK1.JPG
2014-06-25,True,Brett Smiley,Democrat,Crime;Guns,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/SMILEY1.jpg
2014-07-10,Half True,Jeff Mann,None,Job Accomplishments,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/JeffMann.jpg
2014-07-10,Half True,Vernon Jones,Democrat,Ethics,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/vernonjones.jpg
2014-06-26,False, New Approach Oregon,Organization,Marijuana,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/logo_1.png
2014-07-10,True,Mitch McConnell,Republican,Education;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mcconnell.jpg
2014-07-07,Pants on Fire,Phil Gingrey,Republican,Ebola;Health Care;Immigration;Public Health,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Phil_Gingrey.jpg
2014-07-15,Mostly False,Whoopi  Goldberg,Talk show host,Pop Culture,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/whoopi.jpg
2014-07-16,Mostly True,Charlie Crist,Democrat,Education;State Budget,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/crist.JPG
2014-07-08,Mostly True,Bill O'Reilly,None,Immigration;Welfare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/OReilly_Main_1920x1080.jpg
2014-06-17,Mostly True,Rick Perry,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Rick_Perry_1.jpg
2014-06-30,Half True,Susan Happ,Democrat,Sexuality,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Susan_Happ.jpg
2014-07-08,False,Jack Kingston,Republican,Voting Record,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jack_Kingston.jpg
2014-07-14,Mostly True,Mark Begich,Democrat,Bipartisanship;Voting Record,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/begich.jpg
